@relation musik_ressourcen_test_table



@attribute location_found {false, true}
@attribute music_class numeric
@attribute music_klasse numeric
@attribute location_klasse numeric
@attribute family_klasse numeric
@attribute valueOfAllOtherClasses numeric
@attribute class {MUSIK/RESSOURCEN,NACHRICHTEN/INFORMATION}



@data
false,0,0,0,0.083,0.507,MUSIK/RESSOURCEN
false,0,0,1.714,0,1.714,NACHRICHTEN/INFORMATION
false,0,0.333,0,0,0.091,MUSIK/RESSOURCEN
false,0,0,0,0,0.0,MUSIK/RESSOURCEN
false,0,0,0,0,0.455,NACHRICHTEN/INFORMATION
false,0,0,0,0,0.0,MUSIK/RESSOURCEN
false,1.104,0.556,0,0,0.0,MUSIK/RESSOURCEN
true,1.1762,0,0.143,0,0.143,NACHRICHTEN/INFORMATION
false,0,0,0,0,0.0,MUSIK/RESSOURCEN
false,0,0,0,0,0.0,MUSIK/RESSOURCEN
false,1.4107,0,0,0,0.0,NACHRICHTEN/INFORMATION
true,0,0,0.143,0,0.143,MUSIK/RESSOURCEN
false,0,0.222,0,0,0.0,MUSIK/RESSOURCEN
true,1.5218,0,0.143,0,0.143,NACHRICHTEN/INFORMATION
true,2.6944,0,0,0,0.0,NACHRICHTEN/INFORMATION
false,0,0,0,0,0.0,MUSIK/RESSOURCEN
false,2.6271,0,0,0,0.0,NACHRICHTEN/INFORMATION
false,1.0943,0,0,0,0.0,NACHRICHTEN/INFORMATION
false,1.1762,0,0,0,0.0,NACHRICHTEN/INFORMATION
false,1.0317,0,0,0,0.0,NACHRICHTEN/INFORMATION
false,0,0,0,0,0.0,NACHRICHTEN/INFORMATION
false,1.173,0.667,0,0,0.0,MUSIK/RESSOURCEN
false,2.4257,0,0,0,0.545,NACHRICHTEN/INFORMATION
false,1.1762,0.222,0,0,0.273,NACHRICHTEN/INFORMATION
false,2.1268,0,0,0,0.0,NACHRICHTEN/INFORMATION
false,1.1762,0,0,0,0.0,NACHRICHTEN/INFORMATION
false,2.1923,0,0,0,0.0,NACHRICHTEN/INFORMATION
false,0,0,0,0,0.0,MUSIK/RESSOURCEN
true,1.5218,0,0.143,0,0.143,NACHRICHTEN/INFORMATION
false,1.5218,0,0,0.5,0.5,NACHRICHTEN/INFORMATION
false,0,0,0,0,0.0,NACHRICHTEN/INFORMATION
false,1.5218,0,0,0,0.0,NACHRICHTEN/INFORMATION
false,1.3282,0,0,0,0.0,NACHRICHTEN/INFORMATION
false,1.0943,0,0,0,0.0,NACHRICHTEN/INFORMATION
false,1.5218,0,0,0,0.0,NACHRICHTEN/INFORMATION
false,0,0,0,0,0.0,MUSIK/RESSOURCEN
false,0,0.667,0,0,0.364,MUSIK/RESSOURCEN
false,0,0,0,0,0.444,NACHRICHTEN/INFORMATION
false,0.8899,0,0,0,0.0,NACHRICHTEN/INFORMATION
false,1.4123,0,0,0,0.273,NACHRICHTEN/INFORMATION
false,1.094,0.667,0.071,0,0.071,MUSIK/RESSOURCEN
false,0,0.667,0,0,0.0,MUSIK/RESSOURCEN
false,2.508,0,0,0,0.0,MUSIK/RESSOURCEN
false,0,0,0,0,0.0,NACHRICHTEN/INFORMATION
true,1.5218,0,0.143,0,0.143,NACHRICHTEN/INFORMATION
false,1.264,0,0,0,0.0,MUSIK/RESSOURCEN
false,0,0.667,0,0,0.0,MUSIK/RESSOURCEN
true,1.5218,0,0.143,0,0.143,NACHRICHTEN/INFORMATION
false,0,0,0,0,0.0,MUSIK/RESSOURCEN
false,0,0,0,0,0.0,MUSIK/RESSOURCEN
false,0,0,0.071,0,0.586,NACHRICHTEN/INFORMATION
false,1.5218,0,1.714,0,1.714,NACHRICHTEN/INFORMATION
false,2.0503,0,0,0,0.0,NACHRICHTEN/INFORMATION
false,0,0.667,0,0,0.0,MUSIK/RESSOURCEN
false,1.366,0,0,0,0.0,MUSIK/RESSOURCEN
false,1.173,0,0,0,0.0,MUSIK/RESSOURCEN
false,1.5218,0,0,0,0.0,NACHRICHTEN/INFORMATION
true,1.2954,0,0.143,0,0.143,NACHRICHTEN/INFORMATION
false,0,0.333,0,0,0.091,MUSIK/RESSOURCEN
false,1.1762,0,0,0,0.0,NACHRICHTEN/INFORMATION
false,0,0.556,0,0,0.0,MUSIK/RESSOURCEN
false,0,0.111,0,0,0.0,MUSIK/RESSOURCEN
false,0,0,0,0,0.0,NACHRICHTEN/INFORMATION
false,0,0,0.286,0,0.286,NACHRICHTEN/INFORMATION
false,1.147,0,0,0,0.0,MUSIK/RESSOURCEN
false,0,0,0,0.5,0.5,NACHRICHTEN/INFORMATION
false,1.501,0,0,0,0.0,MUSIK/RESSOURCEN
true,1.5218,0,0.071,0,0.071,NACHRICHTEN/INFORMATION
