@relation musik_ressourcen_train_table


@attribute music_class numeric
@attribute news_class numeric
@attribute music_klasse numeric
@attribute news_klasse numeric
@attribute class {MUSIK/RESSOURCEN,NACHRICHTEN/INFORMATION}


@data
2.8693,2.9235,0,0,NACHRICHTEN/INFORMATION
0,0,0,0,MUSIK/RESSOURCEN
0,0,0.222,0,MUSIK/RESSOURCEN
0,0,0.222,0,MUSIK/RESSOURCEN
2.8188,2.8433,0,0,MUSIK/RESSOURCEN
1.1085,1.3003,0,0.222,MUSIK/RESSOURCEN
1.4992,1.5728,0,0,NACHRICHTEN/INFORMATION
0,0,0.667,0,MUSIK/RESSOURCEN
2.5561,2.575,0,0,NACHRICHTEN/INFORMATION
1.0787,1.0143,0.222,0,MUSIK/RESSOURCEN
1.2121,1.2213,0,0,NACHRICHTEN/INFORMATION
2.6195,2.7633,0.111,0,MUSIK/RESSOURCEN
0,0,0,0,NACHRICHTEN/INFORMATION
0,0,0.111,0,MUSIK/RESSOURCEN
2.628,2.8439,0,0.667,NACHRICHTEN/INFORMATION
0,0,0.556,0,MUSIK/RESSOURCEN
1.3703,1.1892,0.111,0,NACHRICHTEN/INFORMATION
2.899,2.9073,0,0,NACHRICHTEN/INFORMATION
3.1516,2.5303,0,0,NACHRICHTEN/INFORMATION
0,0,0.667,0,MUSIK/RESSOURCEN
0,0,0,0,MUSIK/RESSOURCEN
2.1243,1.7261,0,0,NACHRICHTEN/INFORMATION
2.5152,2.3966,0,0,MUSIK/RESSOURCEN
1.3213,1.249,0,0,MUSIK/RESSOURCEN
0,0,0,0,NACHRICHTEN/INFORMATION
0,0,0,0,NACHRICHTEN/INFORMATION
0,0,0,0,NACHRICHTEN/INFORMATION
1.5505,1.717,0,0,MUSIK/RESSOURCEN
1.4992,1.5728,0,0,NACHRICHTEN/INFORMATION
1.4052,1.5821,0,0,MUSIK/RESSOURCEN
1.3821,1.3166,0,0,NACHRICHTEN/INFORMATION
0,0,0,0.667,NACHRICHTEN/INFORMATION
1.132,1.2641,0,0,MUSIK/RESSOURCEN
2.786,2.6195,0,0,NACHRICHTEN/INFORMATION
1.4992,1.5728,0,0,NACHRICHTEN/INFORMATION
1.1544,1.0561,0,0,NACHRICHTEN/INFORMATION
1.3084,1.3653,0,0,NACHRICHTEN/INFORMATION
1.1351,1.0973,0,0,NACHRICHTEN/INFORMATION
1.2388,1.1312,0,0,NACHRICHTEN/INFORMATION
0,0,0.667,0,MUSIK/RESSOURCEN
1.005,0.921,0,0,NACHRICHTEN/INFORMATION
1.4992,1.5728,0,0,NACHRICHTEN/INFORMATION
1.4992,1.5728,0,0,NACHRICHTEN/INFORMATION
1.2733,1.1918,0.111,0.111,MUSIK/RESSOURCEN
0,0,0,0,MUSIK/RESSOURCEN
1.9715,1.6379,0,0,MUSIK/RESSOURCEN
1.4992,1.5728,0,0,NACHRICHTEN/INFORMATION
2.8043,3.0368,0,0,MUSIK/RESSOURCEN
0.754,0.5369,0,0,MUSIK/RESSOURCEN
0,0,0,0,MUSIK/RESSOURCEN
1.3563,1.1373,0,0,MUSIK/RESSOURCEN
1.2215,1.1871,0,0,MUSIK/RESSOURCEN
1.4992,1.5728,0,0,NACHRICHTEN/INFORMATION
1.2391,1.1918,0,0,MUSIK/RESSOURCEN
1.5175,1.717,0,0,MUSIK/RESSOURCEN
1.4992,1.5728,0,0,NACHRICHTEN/INFORMATION
0,0,0,0,NACHRICHTEN/INFORMATION
1.2834,1.2277,0,0,MUSIK/RESSOURCEN
1.4992,1.5728,0,0,NACHRICHTEN/INFORMATION
0,0,0,0,MUSIK/RESSOURCEN
1.27,1.2213,0.667,0,MUSIK/RESSOURCEN
1.1544,1.0561,0,0,MUSIK/RESSOURCEN
1.2145,1.3936,0.667,0,MUSIK/RESSOURCEN
1.4992,1.5728,0,0,NACHRICHTEN/INFORMATION
2.573,2.4395,0.667,0,MUSIK/RESSOURCEN
2.5087,2.6344,0,0,NACHRICHTEN/INFORMATION
1.1839,1.1839,0,0,MUSIK/RESSOURCEN
0,0,0.667,0,MUSIK/RESSOURCEN
0,0,0.222,0,MUSIK/RESSOURCEN
