@relation land_ort_train_table


@attribute location_found {false, true}
@attribute location_class numeric
@attribute location_klasse numeric
@attribute valueOfAllOtherClasses numeric
@attribute class {LAND/ORT, NACHRICHTEN/INFORMATION}


@data
false,1.1126,0,0.0,NACHRICHTEN/INFORMATION
false,0,0,0.0,NACHRICHTEN/INFORMATION
true,0,0,0.0,LAND/ORT
false,0,0,0.0,LAND/ORT
false,1.4872,0,0.111,NACHRICHTEN/INFORMATION
true,3.5145,0.286,0.0,LAND/ORT
false,1.1126,0,1.818,NACHRICHTEN/INFORMATION
false,1.3882,0,0.0,LAND/ORT
false,1.4961,0,0.0,NACHRICHTEN/INFORMATION
false,1.7572,0,0.0,LAND/ORT
false,3.2334,0,0.0,NACHRICHTEN/INFORMATION
false,0,0,0.0,LAND/ORT
false,1.2789,0,0.0,LAND/ORT
false,0,0,0.546,NACHRICHTEN/INFORMATION
false,0,0,0.0,LAND/ORT
false,0,0,0.0,LAND/ORT
false,0,0,0.143,NACHRICHTEN/INFORMATION
false,1.109,0,0.364,LAND/ORT
false,1.109,0,0.556,NACHRICHTEN/INFORMATION
false,0,0,0.0,LAND/ORT
false,1.1901,0,0.0,NACHRICHTEN/INFORMATION
true,1.4762,1.5,0.182,LAND/ORT
true,1.7572,0,0.0,LAND/ORT
true,1.2671,0.143,0.0,LAND/ORT
false,0,0,0.111,NACHRICHTEN/INFORMATION
false,2.8663,0,0.0,NACHRICHTEN/INFORMATION
false,0,0,0.0,LAND/ORT
false,1.7572,0,0.0,NACHRICHTEN/INFORMATION
false,0,0,0.667,NACHRICHTEN/INFORMATION
false,0,0.143,0.849,LAND/ORT
false,0,0,0.0,NACHRICHTEN/INFORMATION
false,1.039,0,0.728,LAND/ORT
false,1.1901,0,0.546,NACHRICHTEN/INFORMATION
false,1.7572,0,0.0,NACHRICHTEN/INFORMATION
false,1.279,0.143,0.0,LAND/ORT
false,2.7916,0,0.0,NACHRICHTEN/INFORMATION
false,1.3721,0,0.444,NACHRICHTEN/INFORMATION
false,2.9474,0.071,0.0,LAND/ORT
false,2.9474,0,0.0,NACHRICHTEN/INFORMATION
false,0,0,0.667,NACHRICHTEN/INFORMATION
false,1.109,0,0.0,LAND/ORT
false,1.3721,0,0.444,NACHRICHTEN/INFORMATION
true,0,0,0.0,LAND/ORT
false,1.7572,0.143,0.0,LAND/ORT
false,1.1901,0,0.0,NACHRICHTEN/INFORMATION
true,0,0.143,0.0,LAND/ORT
true,1.7572,0.143,0.0,LAND/ORT
true,0,0.214,0.697,NACHRICHTEN/INFORMATION
true,1.1782,0,0.0,NACHRICHTEN/INFORMATION
true,0,0,0.0,LAND/ORT
true,0,0.143,0.0,LAND/ORT
false,2.5688,0.071,0.0,LAND/ORT
false,0,0.143,0.0,LAND/ORT
false,1.2919,0,0.0,NACHRICHTEN/INFORMATION
false,0,0,0.0,NACHRICHTEN/INFORMATION
true,1.3233,0.143,0.0,LAND/ORT
false,1.377,0,0.0,NACHRICHTEN/INFORMATION
false,1.4975,0,0.0,NACHRICHTEN/INFORMATION
true,1.757,0.143,0.0,LAND/ORT
false,0,0,0.0,LAND/ORT
false,0,0,0.0,LAND/ORT
false,0,0,0.0,LAND/ORT
false,0,0,0.0,NACHRICHTEN/INFORMATION
false,0,1.714,1.454,NACHRICHTEN/INFORMATION
false,1.7572,1.714,0.0,LAND/ORT
false,1.7572,0,0.0,NACHRICHTEN/INFORMATION
true,1.757,0,0.0,LAND/ORT
false,0,0,0.0,LAND/ORT
false,0,0,1.454,LAND/ORT
true,1.7572,0.286,0.0,LAND/ORT
false,0,0,0.444,LAND/ORT
true,1.757,0,0.0,LAND/ORT
false,0,0,0.0,LAND/ORT
false,1.109,0,0.0,NACHRICHTEN/INFORMATION
false,1.2274,0.357,0.222,LAND/ORT
false,1.3721,0,0.444,NACHRICHTEN/INFORMATION
false,1.109,0,0.0,NACHRICHTEN/INFORMATION
false,1.7572,0.143,0.0,LAND/ORT
false,0,0.286,0.0,LAND/ORT
true,0,0,0.0,NACHRICHTEN/INFORMATION
false,1.4762,0,0.0,NACHRICHTEN/INFORMATION
false,3.201,0,0.333,LAND/ORT
true,0,0,0.364,LAND/ORT
false,0,0,0.0,LAND/ORT
false,1.2779,0,0.667,NACHRICHTEN/INFORMATION
true,1.757,0.143,0.0,LAND/ORT
false,1.7572,1.714,0.0,LAND/ORT
false,0,0,0.0,LAND/ORT
false,0,1.357,0.0,LAND/ORT
false,1.1901,0.357,0.0,LAND/ORT
false,0,0,0.0,NACHRICHTEN/INFORMATION
false,1.7426,0,0.0,LAND/ORT
false,1.7572,0.357,0.0,LAND/ORT
false,2.8654,0,0.182,LAND/ORT
true,1.757,0.286,0.0,LAND/ORT
true,0,0.143,0.0,LAND/ORT
false,2.1626,0,0.0,NACHRICHTEN/INFORMATION
false,3.2334,0,0.0,NACHRICHTEN/INFORMATION
false,1.3721,0,0.0,NACHRICHTEN/INFORMATION
false,1.7572,0,0.0,NACHRICHTEN/INFORMATION
false,1.1901,0,0.0,NACHRICHTEN/INFORMATION
false,0,0,0.0,NACHRICHTEN/INFORMATION
false,1.7572,0,0.0,LAND/ORT
true,0,0,0.0,LAND/ORT
true,1.7572,0.143,0.0,LAND/ORT
false,1.109,0,0.91,NACHRICHTEN/INFORMATION
true,0,0.143,0.0,LAND/ORT
false,0,2,0.0,LAND/ORT
false,0,0.143,0.0,LAND/ORT
false,0.9651,0,0.0,NACHRICHTEN/INFORMATION
false,0,0,0.0,NACHRICHTEN/INFORMATION
false,0.9708,0,0.222,NACHRICHTEN/INFORMATION
true,0,0.143,0.0,LAND/ORT
false,0,0,0.0,NACHRICHTEN/INFORMATION
false,0.9651,0,0.0,NACHRICHTEN/INFORMATION
false,1.2789,0,0.0,NACHRICHTEN/INFORMATION
false,1.1126,0,0.0,NACHRICHTEN/INFORMATION
false,1.7572,1.714,0.0,LAND/ORT
true,0,0,0.0,LAND/ORT
false,1.1918,0,0.889,NACHRICHTEN/INFORMATION
false,1.7572,0,0.0,NACHRICHTEN/INFORMATION
false,0,0,0.0,LAND/ORT
false,1.1901,0,0.0,NACHRICHTEN/INFORMATION
true,3.5145,0.286,0.0,LAND/ORT
false,1.1901,0,0.0,NACHRICHTEN/INFORMATION
true,3.514,0.143,0.0,LAND/ORT
false,0,0,0.0,NACHRICHTEN/INFORMATION
true,0,0,0.0,LAND/ORT
false,0,0,0.0,LAND/ORT
false,1.1126,0,1.09,NACHRICHTEN/INFORMATION
false,1.5552,0,0.0,NACHRICHTEN/INFORMATION
false,1.757,0.143,0.0,LAND/ORT
true,1.757,0.143,0.0,LAND/ORT
false,1.2789,0,0.364,NACHRICHTEN/INFORMATION
true,1.7572,0.143,0.0,LAND/ORT
