@relation land_ort_train_table


@attribute location_found {false, true}
@attribute location_class numeric
@attribute location_klasse numeric
@attribute music_klasse numeric
@attribute body_klasse numeric
@attribute news_klasse numeric
@attribute career_klasse numeric
@attribute career_klasse numeric
@attribute class {LAND/ORT, NACHRICHTEN/INFORMATION}


@data
true,1.7572,0.143,0,0,0,0,0,LAND/ORT
true,0,0.214,0,0,0.333,0.182,0.182,NACHRICHTEN/INFORMATION
true,1.1782,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,0,0,0,0,0,0,0,LAND/ORT
true,0,0.143,0,0,0,0,0,LAND/ORT
false,2.5688,0.071,0,0,0,0,0,LAND/ORT
false,0,0.143,0,0,0,0,0,LAND/ORT
false,1.2919,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,1.3233,0.143,0,0,0,0,0,LAND/ORT
false,1.377,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.4975,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,1.757,0.143,0,0,0,0,0,LAND/ORT
false,0,0,0,0,0,0,0,LAND/ORT
false,0,0,0,0,0,0,0,LAND/ORT
false,0,0,0,0,0,0,0,LAND/ORT
false,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,0,1.714,0,0,0,0.727,0.727,NACHRICHTEN/INFORMATION
false,1.7572,1.714,0,0,0,0,0,LAND/ORT
false,1.7572,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,1.757,0,0,0,0,0,0,LAND/ORT
false,0,0,0,0,0,0,0,LAND/ORT
false,0,0,0,0,0,0.727,0.727,LAND/ORT
true,1.7572,0.286,0,0,0,0,0,LAND/ORT
false,0,0,0.444,0,0,0,0,LAND/ORT
true,1.757,0,0,0,0,0,0,LAND/ORT
false,0,0,0,0,0,0,0,LAND/ORT
false,1.109,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.2274,0.357,0,0,0.222,0,0,LAND/ORT
false,1.3721,0,0,0,0.444,0,0,NACHRICHTEN/INFORMATION
false,1.109,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.7572,0.143,0,0,0,0,0,LAND/ORT
false,0,0.286,0,0,0,0,0,LAND/ORT
true,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.4762,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,3.201,0,0,0,0.333,0,0,LAND/ORT
true,0,0,0,0,0,0.182,0.182,LAND/ORT
false,0,0,0,0,0,0,0,LAND/ORT
false,1.2779,0,0.667,0,0,0,0,NACHRICHTEN/INFORMATION
true,1.757,0.143,0,0,0,0,0,LAND/ORT
false,1.7572,1.714,0,0,0,0,0,LAND/ORT
false,0,0,0,0,0,0,0,LAND/ORT
false,0,1.357,0,0,0,0,0,LAND/ORT
false,1.1901,0.357,0,0,0,0,0,LAND/ORT
false,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.7426,0,0,0,0,0,0,LAND/ORT
false,1.7572,0.357,0,0,0,0,0,LAND/ORT
false,2.8654,0,0,0,0,0.091,0.091,LAND/ORT
true,1.757,0.286,0,0,0,0,0,LAND/ORT
true,0,0.143,0,0,0,0,0,LAND/ORT
false,2.1626,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,3.2334,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.3721,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.7572,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.1901,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.7572,0,0,0,0,0,0,LAND/ORT
true,0,0,0,0,0,0,0,LAND/ORT
true,1.7572,0.143,0,0,0,0,0,LAND/ORT
false,1.109,0,0,0,0,0.455,0.455,NACHRICHTEN/INFORMATION
true,0,0.143,0,0,0,0,0,LAND/ORT
false,0,2,0,0,0,0,0,LAND/ORT
false,0,0.143,0,0,0,0,0,LAND/ORT
false,0.9651,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,0.9708,0,0.222,0,0,0,0,NACHRICHTEN/INFORMATION
true,0,0.143,0,0,0,0,0,LAND/ORT
false,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,0.9651,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.2789,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.1126,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.7572,1.714,0,0,0,0,0,LAND/ORT
true,0,0,0,0,0,0,0,LAND/ORT
false,1.1918,0,0.667,0,0.222,0,0,NACHRICHTEN/INFORMATION
false,1.7572,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,0,0,0,0,0,0,0,LAND/ORT
false,1.1901,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,3.5145,0.286,0,0,0,0,0,LAND/ORT
false,1.1901,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,3.514,0.143,0,0,0,0,0,LAND/ORT
false,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,0,0,0,0,0,0,0,LAND/ORT
false,0,0,0,0,0,0,0,LAND/ORT
false,1.1126,0,0,0,0,0.545,0.545,NACHRICHTEN/INFORMATION
false,1.5552,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.757,0.143,0,0,0,0,0,LAND/ORT
true,1.757,0.143,0,0,0,0,0,LAND/ORT
false,1.2789,0,0,0,0,0.182,0.182,NACHRICHTEN/INFORMATION
true,1.7572,0.143,0,0,0,0,0,LAND/ORT
true,3.5145,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,2.7916,0,0,0,0,0.364,0.364,NACHRICHTEN/INFORMATION
true,0,0,0,0,0,0,0,LAND/ORT
true,1.396,0,0,0,0,0,0,LAND/ORT
false,0,0,0.444,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.3721,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.7572,0,0,0,0,0,0,LAND/ORT
true,1.7572,0,0,0,0,0,0,LAND/ORT
false,0,0,0,0,0,0,0,LAND/ORT
false,0,1.714,0.222,0,0.111,0.091,0.091,NACHRICHTEN/INFORMATION
true,1.757,0.286,0,0,0,0,0,LAND/ORT
true,0,0.071,0,0,0.333,0.182,0.182,LAND/ORT
true,1.7572,0.143,0,0,0,0,0,LAND/ORT
false,2.8482,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,1.7572,0.214,0,0,0,0,0,LAND/ORT
false,2.728,2.214,0,0,0,0,0,LAND/ORT
true,1.4762,1.5,0,0,0,0.091,0.091,LAND/ORT
false,1.109,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.279,0.143,0,0,0,0,0,LAND/ORT
false,1.7572,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,0,0,0.444,0,0,0,0,NACHRICHTEN/INFORMATION
true,1.7572,0,0,0,0,0,0,LAND/ORT
false,1.7572,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.7012,0,0,0,0,0,0,LAND/ORT
false,1.1492,0,0,0,0,0.545,0.545,NACHRICHTEN/INFORMATION
true,0,0,0,0,0,0,0,LAND/ORT
true,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,0,0,0.222,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.1918,0,0,0,0,0,0,LAND/ORT
false,0,1.357,0,0,0,0,0,LAND/ORT
true,2.796,0,0,0,0,0,0,LAND/ORT
false,1.7572,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,3.0351,0,0.667,0,0,0,0,NACHRICHTEN/INFORMATION
false,0,0,0.222,0,0,0,0,NACHRICHTEN/INFORMATION
false,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,3.5145,1.357,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.1126,0,0.333,0,0,0,0,NACHRICHTEN/INFORMATION
true,0,0.143,0,0,0,0,0,LAND/ORT
false,1.1918,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.7572,0,0,0,0,0,0,LAND/ORT
false,1.7572,0,0,0,0,0.727,0.727,NACHRICHTEN/INFORMATION
false,1.7572,0.357,0,0,0,0,0,LAND/ORT
false,0,0,0.333,0,0,0.091,0.091,NACHRICHTEN/INFORMATION
true,0,0.143,0,0,0,0,0,LAND/ORT
true,0,0,0,0,0,0,0,LAND/ORT
false,1.4762,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,3.0361,1.5,0,0,0,0,0,LAND/ORT
true,1.4762,1.5,0,0,0,0.091,0.091,LAND/ORT
false,0,0.143,0,0,0.667,0.091,0.091,NACHRICHTEN/INFORMATION
true,1.7572,0,0,0,0,0,0,LAND/ORT
false,0,0,0,0,0,0,0,LAND/ORT
false,1.2779,0,0,0.143,0.333,0.364,0.364,NACHRICHTEN/INFORMATION
false,3.5145,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.109,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,1.757,0.286,0,0,0,0,0,LAND/ORT
false,0,0,0.667,0,0,0,0,NACHRICHTEN/INFORMATION
true,0,0.5,0,0,0,0,0,LAND/ORT
false,1.7572,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.7572,1.714,0,0,0,0,0,LAND/ORT
false,0,0,0.444,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.0392,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
