id,location_name,location_iata,location_state,location_art
00920b73-0ad4-4d13-8ab3-ba5324ed3628,Almenara (Minas Gerais) Almenara,AMJ,Brasilien,int
03393f92-909f-491c-9cda-ac5671714539,Durango (Colorado),AMK,USA,int
082d5b89-f2c4-4e54-b014-3fa890ae82e0,Puerto Armuelles,AML,Panama,int
92189a7a-89bc-4ad6-a0d5-d42cd38a9729,Amman,AMM,Jordanien,int
517d1a9a-d7b8-4698-b4af-11a3c3bdc913,Alma,AMN,USA,int
467cbe6f-7e92-4628-8895-bd9b192bfab1,Mao (Tschad),AMO,Tschad,int
f0794621-d212-4329-bbf8-059502ee80b7,Ampanihy,AMP,Madagaskar,int
a049cfff-dcd9-44b1-acfd-2d64d959d9df,Ambon,AMQ,Indonesien,int
90546866-a56e-45ea-a49e-88a250060095,Arno-Atoll,AMR,Marshallinseln,int
466f0e95-5273-420f-8bdd-52294cdd088c,Amsterdam,AMS,Niederlande,int
93ef7134-0bc1-491e-b6d9-7346541340df,Amata,AMT,Australien,int
2555d0e8-4c2d-4312-ac80-9e2f8787ab6b,Amanab,AMU,Papua-Neuguinea,int
495aa4f4-f378-4c44-964c-7a2b7305a334,Amderma,AMV,Russland,int
24339a8a-24fb-45d2-ac7d-40df4728df9c,Ames,AMW,USA,int
50497eca-c042-4c63-a477-b12b03239bb4,Ammaroo,AMX,Australien,int
40a97687-7ff3-483c-adbe-324547049f48,Ambatomainty,AMY,Madagaskar,int
e1d748d8-eb45-4378-9fe1-2474ea591669,Ardmore,AMZ,Neuseeland,int
f83e90c5-626b-4bef-b540-282891b4320d,Anaheim/Disneyland Resort,ANA,USA,int
d2250466-3808-48e3-a495-2ab265e7ec3f,Anniston,ANB,USA,int
f9632346-26e4-4c41-9561-df9b87a3a416,Anchorage,ANC,USA,int
61d74db2-a8bf-4c09-a2fb-1822d40cc217,Anderson (South Carolina) Anderson,AND,USA,int
a36d001b-3e9d-405c-a34d-19f695f9f083,Angers,ANE,Frankreich,int
5daf9a0d-36fc-4214-84c5-666b78871af5,Antofagasta,ANF,Chile,int
1565df58-818a-44cd-947c-8b029dc521c1,AngoulÃªme,ANG,Frankreich,int
318aa5fe-09ca-49f6-a42e-af003af96e88,Anuha,ANH,Salomonen,int
70bb5f2f-614c-48de-94cb-0f1b3f773a93,Aniak,ANI,USA,int
01ec18cc-e476-49fb-b2fc-0ea7f0613212,Zanaga,ANJ,Republik Kongo,int
e09ce6a0-8bab-4e0d-8dfe-1a639ada7248,Ankara,ANK,Türkei,int
c4aa1b26-0602-4d59-91ea-d8ed10d5d452,Andulo,ANL,Angola,int
f7f196dc-0e42-49e0-88f1-1766d4a80e0c,Antalaha,ANM,Madagaskar,int
9f62ab5f-88e5-41b2-96e0-d35e008cca79,Annette Island,ANN,USA,int
ea50c4a5-e4ed-40f1-9aed-60c8f305118b,Angoche,ANO,Mosambik,int
